Test Name	Grain Boundary Area (um2)	Bubble Density (um-2)	IG Swelling (%)	Grain Face Coverage by Porosity (%)	Projected Radius (um)	Body Length (um)	Number of Lobes (/) 	Vented Fraction (%)
test_White2004_4000-1	/	0.68	0.97	42.96	0.22	1.18	4.2	55.1
test_White2004_4000-2	/	0.8	0.68	30.2	0.22	0.47	2.6	18.8
test_White2004_4000-3	/	1.32	0.53	27.82	0.18	0.29	2.3	7.3
test_White2004_4000-4	/	1.99	0.46	30.84	0.15	0.36	2.3	7.8
test_White2004_4000-5	/	9	0.17	24.09	0.08	0.04	2	/
test_White2004_4004-1	/	1.39	0.62	33.39	0.2	0.31	2.3	17
test_White2004_4004-2	/	2.12	0.70	39.28	0.15	0.44	3	23
test_White2004_4004-3	/	3.55	0.44	30.02	0.13	0.18	2.1	3.2
test_White2004_4004-4	/	1.87	0.56	39.88	0.14	0.9	3.2	33.7
test_White2004_4004-5	/	8.51	0.27	36.71	0.07	0.22	2	/
test_White2004_4004-6	/	27.9	0.16	36.77	0.04	0.11	2	/
test_White2004_4005-1	/	1.21	0.94	39.22	0.21	0.5	2.9	21.7
test_White2004_4005-2	/	2.93	0.57	34.71	0.13	0.28	3.1	25.9
test_White2004_4005-3	/	2.57	0.42	32.9	0.12	0.49	3.2	16.3
test_White2004_4005-4	/	2.62	0.54	43.83	0.11	0.71	3.8	45
test_White2004_4005-5	/	10.62	0.27	41.72	0.06	0.25	2.2	/
test_White2004_4064-1	/	0.95	1.07	40.67	0.27	0.76	2.9	32.4
test_White2004_4064-2	/	0.87	0.86	36.98	0.25	0.66	2.6	9.6
test_White2004_4064-3	/	1.35	0.63	31.42	0.19	0.53	3	9.3
test_White2004_4064-4	/	0.74	0.74	45.31	0.2	1.66	6.3	/
test_White2004_4064-5	/	3.51	0.59	45.92	0.13	0.51	3.2	/
test_White2004_4065-1	/	0.25	1.25	49.68	0.28	2.38	6.3	84
test_White2004_4065-2	/	0.37	1.35	49.51	0.3	1.5	3.5	51.4
test_White2004_4065-3	/	0.49	0.97	44.27	0.24	1.6	4.3	63.4
test_White2004_4065-4	/	0.88	0.79	44.78	0.16	1.38	4.2	/
test_White2004_4065-5	/	4.07	0.21	15.8	0.12	/	2	/
test_White2004_4135-1	/	1.03	0.42	22.8	0.16	0.47	3.3	15
test_White2004_4135-2	/	1.52	0.16	11.5	0.12	0.15	2	2.9
test_White2004_4135-3	/	1.78	0.09	8.96	0.09	0.13	2	1.05
test_White2004_4136-1	/	0.83	0.60	32	0.16	0.98	4	25.5
test_White2004_4136-2	/	0.59	0.62	32.7	0.17	1.34	4.2	44.2
test_White2004_4136-3	/	1.19	0.26	18	0.12	0.41	3.4	24
test_White2004_4136-4	/	1.69	0.11	10	0.09	0.2	2.1	6.5
test_White2004_4140-1	/	1.59	0.26	16.3	0.11	0.28	3.1	9.7
test_White2004_4140-2	/	2.18	0.18	13.4	0.09	0.22	2.1	/
test_White2004_4162-1	/	3.15	0.70	37.11	0.15	0.15	2.1	/
test_White2004_4162-2	/	3.98	0.46	28.12	0.12	0.13	2.3	5
test_White2004_4162-3	/	4.92	0.43	30.36	0.13	0.12	2	1.5
test_White2004_4162-4	/	5.38	0.43	27.74	0.11	0.06	2	6.3
test_White2004_4163-1	/	2.63	0.60	34.44	0.15	0.22	2.7	10.4
test_White2004_4163-2	/	3.56	0.59	31.95	0.14	0.09	2.2	3
test_White2004_4163-3	/	5.19	0.35	30.22	0.12	0.09	2.1	/
test_White2004_4163-4	/	5.7	0.40	36.11	0.1	0.27	2.2	5
